"","caseno","popbasesec","country","region","la_group","residence_type","add1yr","ageh","agehrp","aggdtwpew11g","ahchuk11","carer","carsnoc","cenheat","clients01","clients02","clients03","clients04","clients05","clients06","clients07","clients08","clients09","clients10","clients11","clients12","clients13","clients14","clients15","clients16","clients17","clients18","clients19","clients20","clients21","cobg","cobhukrcg","concealed","depedhuk11","depemhuk11","dephdhuk11","dephshuk11","deprived","disability","dpcfamuk11","ecopuk11","empstat","estnaturei","ethhuk11","ethnicityew","everwork","fmspuk11","health","hhldlang11","hlqupuk11","hours","housecarer","identityg","illhuk11g","indgpuk11","intention","iscog","landlordew","langprf","larpuk11","lastyrwrkg","mainglangg","marstat","meighuk11","mighuk11","mltrlg","movefromg","moveregion","natidbpuk11","natidepuk11","natidipuk11","natidnipuk11","natidopuk11","natidspuk11","natidwpuk11","nssec","nsshuk11","occg","passports","penexactpuk11","penhuk11","penpuk11","position","pproomhuk11","psptelog","relato","religionew","rtntypeg","scaddtyp","scghuk11","scgpuk11c","selfcon","sex","single","sizhuk11","sscaddcpew11","stapuk11","student","supervisor","tenduk11","tenure","transport","transport_2001","typaccom","unemphist","visitorsg","wg1famuk11","wkpladdewni","wlshread","wlshspeak","wlshstnd","wlshwrit","wpzhome","wrkplaceew","yradindstud","yrarr_yearg"
"104098",2327261,1,1,2,191,2,2,6,3,3,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,1,1,NA,1,1,NA,3,1,1,15,2,0,NA,0,13,NA,42,NA,NA,1,1,1,2,2,1,2,1,3,1,4,7,4,3,4,4,7.1,3.4,41,1,0,NA,0,NA,1,NA,1,2,1,NA,1,1,1,2,2,2,1,NA,2,2,1,2,7,7,2,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"428956",369145,1,1,2,187,2,1,12,9,9,7,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,6,2,NA,1,1,NA,3,1,1,14,4,1,NA,0,3,NA,71,NA,NA,1,1,1,2,2,0,2,1,NA,3,1,7,4,3,4,4,9.1,9.1,52,8,0,NA,0,NA,1,NA,NA,2,1,NA,3,3,1,1,2,2,1,NA,2,2,0,1,7,7,2,NA,0,2,3,NA,NA,NA,NA,2,1,0,NA
"1422005",369814,1,1,2,187,2,2,5,2,4,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,3,NA,2,1,NA,1,1,NA,2,1,1,15,3,0,NA,0,8,NA,44,3,NA,4,1,1,1,2,2,2,2,3,3,1,7,4,3,4,4,7.1,4.1,41,1,0,NA,0,NA,1,NA,13,2,1,NA,1,1,1,1,2,2,1,NA,2,2,5,4,4,4,3,NA,0,NA,1,NA,NA,NA,NA,4,4,0,NA
"424970",2278362,1,1,2,182,2,1,4,11,2,10,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,1,0,2,3,3,8,1,NA,1,5,NA,4,1,1,14,1,0,NA,2,4,NA,32,NA,NA,4,1,1,1,4,0,2,1,NA,2,2,7,4,3,4,4,15,9.1,71,1,0,9,0,NA,1,NA,4,2,1,NA,NA,3,1,1,2,4,1,1,1,2,1,2,8,8,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"753517",2305902,1,1,2,184,2,1,8,6,5,7,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,6,NA,3,2,1,15,3,0,NA,0,14,NA,24,NA,NA,1,1,1,2,4,0,5,1,NA,1,4,7,4,3,4,4,3.1,10,24,1,0,NA,0,NA,1,NA,1,7,1,NA,4,4,1,2,2,2,1,NA,2,1,1,2,7,7,4,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"916655",2285722,1,1,2,183,2,1,4,9,2,9,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,5,8,1,NA,1,1,NA,4,2,1,12,1,0,NA,0,4,NA,52,NA,NA,4,1,1,1,2,0,2,1,NA,1,4,7,4,3,4,4,15,3.1,71,1,0,NA,0,NA,2,NA,4,2,2,NA,1,1,1,2,2,4,1,1,1,2,1,2,8,8,1,NA,0,2,1,NA,NA,NA,NA,4,4,0,NA
"2388867",377293,1,1,2,188,2,1,11,8,1,7,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,1,1,NA,1,1,NA,3,2,1,12,2,2,NA,0,10,NA,43,NA,NA,1,1,1,2,2,0,6,1,NA,3,1,7,4,3,4,4,7.1,9.1,41,1,0,NA,0,NA,1,NA,1,2,1,NA,2,2,1,2,2,2,1,NA,2,2,0,1,10,10,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1940926",2336914,1,1,2,191,2,1,10,7,1,10,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,1,1,12,3,0,NA,0,14,NA,53,NA,NA,1,1,1,2,2,0,2,1,NA,2,2,7,4,3,4,4,7.3,12.3,61,1,0,NA,0,NA,2,NA,1,2,1,NA,4,4,1,2,2,4,1,NA,2,2,1,2,10,10,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1246669",351509,1,1,2,186,2,1,12,9,1,7,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,0,1,3,1,2,1,NA,1,1,NA,3,2,1,14,3,0,NA,0,3,NA,71,NA,NA,1,1,1,2,2,0,2,1,NA,1,4,7,4,3,4,4,13.3,13.3,53,1,0,NA,0,NA,1,NA,NA,2,1,NA,3,3,1,1,2,2,1,NA,2,1,0,1,7,7,2,NA,0,2,1,NA,NA,NA,NA,3,3,0,NA
"1246272",344682,1,1,2,185,2,1,12,9,2,2,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,1,0,0,0,2,3,NA,2,1,NA,1,1,NA,2,1,1,16,3,0,NA,0,4,NA,52,NA,NA,7,1,1,5,1,0,1,1,NA,3,1,7,4,3,4,4,12.1,12.1,71,1,0,NA,0,NA,1,NA,NA,2,1,NA,4,4,1,2,1,1,1,NA,2,2,0,1,4,4,3,NA,0,NA,1,NA,NA,NA,NA,3,3,0,NA
"428791",366342,1,1,2,187,2,1,8,5,3,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,0,1,3,NA,5,2,NA,1,1,NA,2,1,1,15,2,0,NA,0,15,NA,34,NA,NA,4,1,1,1,1,0,1,1,NA,3,1,7,4,3,4,4,9.1,9.1,34,1,0,NA,0,NA,1,NA,NA,2,1,NA,2,2,1,2,1,1,1,NA,2,2,1,2,7,7,1,NA,0,NA,1,NA,NA,NA,NA,4,4,0,NA
"262625",2292431,1,1,2,184,2,1,7,4,3,9,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,0,1,2,3,2,2,1,NA,1,1,NA,6,1,2,15,3,0,NA,0,13,NA,23,NA,NA,7,1,1,5,5,0,2,1,NA,1,4,7,4,3,4,4,4.1,4.1,23,1,0,9,0,NA,2,NA,NA,2,1,NA,1,1,1,2,2,4,1,NA,2,2,0,1,7,7,3,NA,0,1,1,NA,NA,NA,NA,4,4,0,NA
